Date,Price,Open,High,Low,Vol.,Change %
2/18/2021,63.93,65.02,65.52,63.22,420.56K,-0.64%
2/17/2021,64.34,63.15,64.96,62.73,391.26K,1.56%
2/16/2021,63.35,63.47,63.7,62.69,284.67K,0.08%
2/15/2021,63.3,62.83,63.76,62.82,220.38K,1.39%
2/12/2021,62.43,60.82,62.83,60.35,307.72K,2.11%
2/11/2021,61.14,61.01,61.5,60.72,209.69K,-0.54%
2/10/2021,61.47,61.21,61.69,60.87,287.71K,0.62%
2/9/2021,61.09,60.8,61.34,60.05,319.50K,0.88%
2/8/2021,60.56,59.43,60.72,59.43,269.31K,2.06%
2/5/2021,59.34,59.17,59.79,59.08,229.42K,0.85%
2/4/2021,58.84,58.59,59.12,58.04,244.07K,0.65%
2/3/2021,58.46,57.85,58.94,57.5,276.86K,1.74%
2/2/2021,57.46,56.35,58.05,56.33,337.68K,1.97%
2/1/2021,56.35,54.91,56.53,54.6,288.25K,0.84%
1/29/2021,55.88,55.52,56.37,55.31,19.94K,0.63%
1/28/2021,55.53,55.41,56.59,55.31,122.48K,-0.50%
1/27/2021,55.81,56.05,56.49,55.2,132.41K,-0.18%
1/26/2021,55.91,55.93,56.34,55.39,163.20K,0.05%
1/25/2021,55.88,55.26,56.02,55.07,198.27K,0.85%
1/22/2021,55.41,56,56.03,54.48,269.37K,-1.23%
1/21/2021,56.1,55.82,56.24,55.49,254.59K,0.04%
1/20/2021,56.08,56.07,56.64,55.66,310.89K,0.32%
1/19/2021,55.9,55.01,56.08,54.89,261.10K,2.10%
1/18/2021,54.75,54.75,55.21,54.49,142.87K,-0.64%
1/15/2021,55.1,56.41,56.5,54.64,298.41K,-2.34%
1/14/2021,56.42,55.93,56.57,55.24,331.29K,0.64%
1/13/2021,56.06,56.83,57.42,55.77,324.30K,-0.92%
1/12/2021,56.58,55.66,56.79,55.51,288.14K,1.65%
1/11/2021,55.66,56.24,56.39,54.99,295.07K,-0.59%
1/8/2021,55.99,54.56,56.36,54.34,336.65K,2.96%
1/7/2021,54.38,54.13,54.9,53.94,267.19K,0.15%
1/6/2021,54.3,53.52,54.73,53.02,414.41K,1.31%
1/5/2021,53.6,50.95,53.9,50.7,455.35K,4.91%
1/4/2021,51.09,51.5,53.33,50.56,382.90K,-1.37%
12/31/2020,51.8,51.49,51.84,50.9,133.22K,0.90%
12/30/2020,51.34,51.32,51.56,51.04,17.63K,0.49%
12/29/2020,51.09,51.02,51.63,50.86,91.33K,0.45%
12/28/2020,50.86,51.25,52.02,50.53,81.06K,-0.84%
12/24/2020,51.29,51.11,51.77,50.62,96.69K,0.18%
12/23/2020,51.2,49.7,51.59,49.2,182.63K,2.24%
12/22/2020,50.08,50.65,50.86,49.56,194.10K,-1.63%
12/21/2020,50.91,52.22,52.32,49.2,288.74K,-2.58%
12/18/2020,52.26,51.43,52.48,51.13,246.12K,1.48%
12/17/2020,51.5,51.12,51.9,51.08,233.88K,0.82%
12/16/2020,51.08,50.64,51.2,50.34,222.74K,0.63%
12/15/2020,50.76,50.3,50.89,49.78,190.55K,0.93%
12/14/2020,50.29,50.05,50.8,49.13,236.96K,0.64%
12/11/2020,49.97,50.45,50.74,49.74,231.87K,-0.56%
12/10/2020,50.25,49,51.06,48.86,288.73K,2.84%
12/9/2020,48.86,48.84,49.55,48.4,267.79K,0.04%
12/8/2020,48.84,48.58,49,48.09,225.24K,0.10%
12/7/2020,48.79,49.23,49.43,48.4,207.51K,-0.93%
12/4/2020,49.25,48.96,49.92,48.84,253.64K,1.11%
12/3/2020,48.71,48,48.94,47.67,274.73K,0.95%
12/2/2020,48.25,47.05,48.76,46.82,285.74K,1.75%
12/1/2020,47.42,47.79,48.3,46.88,258.69K,-0.36%
11/30/2020,47.59,47.91,47.99,46.85,20.68K,-1.22%
11/27/2020,48.18,47.81,48.44,47.34,87.75K,0.79%
11/26/2020,47.8,48.76,49.09,47.53,88.76K,-1.67%
11/25/2020,48.61,47.8,49.06,47.72,231.03K,1.57%
11/24/2020,47.86,45.9,48.03,45.89,263.24K,3.91%
11/23/2020,46.06,45.08,46.12,44.89,267.25K,2.45%
11/20/2020,44.96,44.15,45.24,44.05,264.01K,1.72%
11/19/2020,44.2,43.96,44.57,43.79,210.30K,-0.32%
11/18/2020,44.34,43.75,44.89,43.48,242.88K,1.35%
11/17/2020,43.75,43.89,44.25,43.08,226.35K,-0.16%
11/16/2020,43.82,42.71,44.67,42.71,268.43K,2.43%
11/13/2020,42.78,43.2,43.34,42.63,216.74K,-1.72%
11/12/2020,43.53,43.73,44.5,43.26,266.04K,-0.62%
11/11/2020,43.8,43.77,45.3,43.6,346.77K,0.44%
11/10/2020,43.61,41.75,44.11,41.71,315.25K,2.85%
11/9/2020,42.4,39.65,43.48,39.46,393.05K,7.48%
11/6/2020,39.45,40.63,40.69,39.34,255.44K,-3.62%
11/5/2020,40.93,40.96,41.53,40.33,219.20K,-0.73%
11/4/2020,41.23,40.13,41.33,39.42,250.87K,3.83%
11/3/2020,39.71,39.26,40.45,38.65,278.63K,1.90%
11/2/2020,38.97,37.37,39.36,35.74,326.07K,4.03%
10/30/2020,37.46,37.5,38.1,36.8,20.19K,-0.50%
10/29/2020,37.65,39.16,39.45,36.64,112.49K,-3.76%
10/28/2020,39.12,40.61,40.7,38.75,163.83K,-5.05%
10/27/2020,41.2,40.5,41.47,40.4,207.54K,1.83%
10/26/2020,40.46,41.53,41.63,40.22,210.53K,-3.14%
10/23/2020,41.77,42.4,42.8,41.5,205.21K,-1.63%
10/22/2020,42.46,41.59,42.79,41.46,257.20K,1.75%
10/21/2020,41.73,42.91,43.04,41.45,268.88K,-3.31%
10/20/2020,43.16,42.45,43.3,42.19,252.05K,1.27%
10/19/2020,42.62,42.69,43.23,42.36,209.06K,-0.72%
10/16/2020,42.93,43.1,43.21,42.27,197.16K,-0.53%
10/15/2020,43.16,43.45,43.48,41.56,295.28K,-0.37%
10/14/2020,43.32,42.43,43.45,42.13,279.12K,2.05%
10/13/2020,42.45,41.81,42.68,41.66,227.85K,1.75%
10/12/2020,41.72,42.6,42.71,41.36,238.87K,-2.64%
10/9/2020,42.85,43.36,43.57,42.61,254.62K,-1.13%
10/8/2020,43.34,42.15,43.47,41.86,266.26K,3.22%
10/7/2020,41.99,41.85,42.42,41.36,241.20K,-1.55%
10/6/2020,42.65,41.41,42.84,41.22,291.68K,3.29%
10/5/2020,41.29,39.19,41.78,39.14,273.76K,5.14%
10/2/2020,39.27,40.65,40.77,38.79,337.41K,-4.06%
10/1/2020,40.93,42.17,42.56,39.92,338.72K,-0.05%
9/30/2020,40.95,40.66,40.98,40.3,19.38K,-0.19%
9/29/2020,41.03,42.47,42.52,40.43,91.60K,-3.30%
9/28/2020,42.43,41.87,42.62,41.48,91.82K,1.22%
9/25/2020,41.92,41.85,42.33,41.52,129.40K,-0.05%
9/24/2020,41.94,41.36,42.02,41.27,162.93K,0.41%
9/23/2020,41.77,41.67,42.62,41.21,183.88K,0.12%
9/22/2020,41.72,41.79,42.2,41.21,210.74K,0.68%
9/21/2020,41.44,43.01,43.3,40.96,217.36K,-3.96%
9/18/2020,43.15,43.22,43.8,42.53,204.66K,-0.35%
9/17/2020,43.3,42.32,43.5,41.5,237.40K,2.56%
9/16/2020,42.22,40.72,42.44,40.59,237.25K,4.17%
9/15/2020,40.53,39.7,40.82,39.39,214.80K,2.32%
9/14/2020,39.61,39.78,40.09,39.3,200.09K,-0.55%
9/11/2020,39.83,39.96,40.34,39.38,211.88K,-0.57%
9/10/2020,40.06,40.58,40.96,39.71,208.86K,-1.79%
9/9/2020,40.79,39.65,41.2,39.37,278.22K,2.54%
9/8/2020,39.78,42.08,42.23,39.31,363.53K,-5.31%
9/7/2020,42.01,42.2,42.43,41.51,122.98K,-1.52%
9/4/2020,42.66,43.76,44.54,42.3,270.96K,-3.20%
9/3/2020,44.07,44.65,44.65,43.15,274.93K,-0.81%
9/2/2020,44.43,45.83,46.05,44.2,260.14K,-2.52%
9/1/2020,45.58,45.6,46.22,45.47,206.72K,0.66%
8/31/2020,45.28,45.8,46.53,45.21,174.31K,0.51%
8/28/2020,45.05,45.1,45.3,44.8,21.14K,-0.09%
8/27/2020,45.09,45.7,45.87,44.56,102.26K,-1.21%
8/26/2020,45.64,45.97,46.1,45.54,132.51K,-0.48%
8/25/2020,45.86,45.12,46.07,45.08,178.31K,1.62%
8/24/2020,45.13,44.5,45.18,44.29,176.64K,1.76%
8/21/2020,44.35,45.03,45.08,43.59,221.99K,-1.22%
8/20/2020,44.9,45.14,45.18,44.02,249.74K,-1.04%
8/19/2020,45.37,45.17,45.48,44.81,174.88K,-0.20%
8/18/2020,45.46,45.27,45.55,44.76,181.69K,0.20%
8/17/2020,45.37,44.86,45.41,44.53,164.23K,1.27%
8/14/2020,44.8,45.29,45.29,44.47,151.46K,-0.36%
8/13/2020,44.96,45.32,45.58,44.82,148.41K,-1.03%
8/12/2020,45.43,44.62,45.63,44.49,166.48K,2.09%
8/11/2020,44.5,45.05,45.79,44.39,202.74K,-1.09%
8/10/2020,44.99,44.66,45.26,44.37,135.30K,1.33%
8/7/2020,44.4,45.15,45.3,44.27,171.72K,-1.53%
8/6/2020,45.09,45.32,45.71,44.85,184.52K,-0.18%
8/5/2020,45.17,44.28,46.23,44.24,246.98K,1.67%
8/4/2020,44.43,43.84,44.82,43.24,227.12K,0.63%
8/3/2020,44.15,43.53,44.46,42.89,198.70K,1.96%
7/31/2020,43.3,43.29,43.44,43.05,14.42K,0.84%
7/30/2020,42.94,43.73,43.8,41.38,63.20K,-1.85%
7/29/2020,43.75,43.31,43.95,43.2,64.92K,1.23%
7/28/2020,43.22,43.55,43.84,43,107.34K,-0.44%
7/27/2020,43.41,43.35,43.77,42.39,174.75K,0.16%
7/24/2020,43.34,43.27,43.9,42.79,191.05K,0.07%
7/23/2020,43.31,44.1,44.77,43.13,262.24K,-2.21%
7/22/2020,44.29,44.03,44.4,43.62,202.16K,-0.07%
7/21/2020,44.32,43.17,44.89,43.16,229.78K,2.40%
7/20/2020,43.28,43.08,43.45,42.36,179.43K,0.32%
7/17/2020,43.14,43.4,43.45,42.64,162.40K,-0.53%
7/16/2020,43.37,43.71,43.8,43.14,172.16K,-0.96%
7/15/2020,43.79,43.07,43.85,42.7,232.18K,2.07%
7/14/2020,42.9,42.24,43.22,41.8,221.12K,0.42%
7/13/2020,42.72,43.12,43.34,42.14,200.31K,-1.20%
7/10/2020,43.24,42.36,43.42,41.32,214.05K,2.10%
7/9/2020,42.35,43.3,43.5,41.94,237.75K,-2.17%
7/8/2020,43.29,42.81,43.47,42.75,185.14K,0.49%
7/7/2020,43.08,43.13,43.45,42.46,183.23K,-0.05%
7/6/2020,43.1,42.79,43.71,42.74,185.02K,0.70%
7/3/2020,42.8,42.76,42.99,42.32,96.78K,-0.79%
7/2/2020,43.14,41.84,43.23,41.73,196.69K,2.64%
7/1/2020,42.03,41.58,42.62,41.03,252.52K,2.14%
6/30/2020,41.15,41.33,41.62,40.9,12.60K,-1.34%
6/29/2020,41.71,40.56,41.95,40.04,86.78K,1.68%
6/26/2020,41.02,41.44,41.81,40.29,120.32K,-0.07%
6/25/2020,41.05,40.35,41.64,39.47,166.05K,1.84%
6/24/2020,40.31,42.45,42.89,39.63,195.72K,-5.44%
6/23/2020,42.63,43.21,43.93,42.21,183.03K,-1.04%
6/22/2020,43.08,41.74,43.18,41.58,187.65K,2.11%
6/19/2020,42.19,41.72,42.92,41.03,217.49K,1.64%
6/18/2020,41.51,40.43,41.64,40.06,175.79K,1.97%
6/17/2020,40.71,40.61,41.46,40.03,175.24K,-0.61%
6/16/2020,40.96,39.94,41.65,38.95,248.58K,3.12%
6/15/2020,39.72,38.8,39.9,37.24,215.42K,2.56%
6/12/2020,38.73,37.88,39.45,37.01,237.89K,0.47%
6/11/2020,38.55,40.95,41.01,37.82,290.17K,-7.62%
6/10/2020,41.73,40.72,41.99,40.14,234.19K,1.34%
6/9/2020,41.18,41.1,41.45,39.85,222.36K,0.93%
6/8/2020,40.8,42.4,43.41,40.68,227.88K,-3.55%
6/5/2020,42.3,39.84,42.48,39.72,250.31K,5.78%
6/4/2020,39.99,39.6,40.1,39.04,172.61K,0.50%
6/3/2020,39.79,39.75,40.53,38.76,239.43K,0.56%
6/2/2020,39.57,38.34,39.75,38.26,205.22K,3.26%
6/1/2020,38.32,37.56,38.68,37.18,212.78K,8.46%
5/29/2020,35.33,35.15,35.37,34.06,14.71K,0.11%
5/28/2020,35.29,33.92,35.95,33.62,70.99K,1.58%
5/27/2020,34.74,35.93,36.16,33.98,112.25K,-3.95%
5/26/2020,36.17,35.66,36.68,35.26,129.98K,1.80%
5/25/2020,35.53,34.98,35.97,34.46,28.96K,1.14%
5/22/2020,35.13,36.18,36.23,33.54,174.59K,-2.58%
5/21/2020,36.06,35.82,36.98,35.75,178.55K,0.87%
5/20/2020,35.75,34.45,36.46,34.38,191.27K,3.17%
5/19/2020,34.65,35.66,35.76,34.2,188.93K,-0.46%
5/18/2020,34.81,32.78,35.72,32.69,232.25K,7.11%
5/15/2020,32.5,31.52,32.91,30.94,211.28K,4.40%
5/14/2020,31.13,29.52,31.55,28.88,222.21K,6.65%
5/13/2020,29.19,29.35,30.55,28.86,221.11K,-2.64%
5/12/2020,29.98,30.07,30.7,29.35,202.47K,1.18%
5/11/2020,29.63,30.7,31.47,29.35,242.21K,-4.33%
5/8/2020,30.97,29.6,31.14,29.43,147.30K,5.13%
5/7/2020,29.46,29.64,31.84,29.08,259.89K,-0.87%
5/6/2020,29.72,32.27,32.27,28.66,268.46K,-4.04%
5/5/2020,30.97,28.1,32.06,27.77,267.14K,13.86%
5/4/2020,27.2,26.1,28.08,25.5,215.73K,2.87%
5/1/2020,26.44,26.95,27.88,25.76,216.98K,4.63%
4/30/2020,25.27,22.87,25.76,22.87,9.69K,12.11%
4/29/2020,22.54,20.66,23.88,20.53,86.55K,10.17%
4/28/2020,20.46,19.9,21.29,18.73,123.22K,2.35%
4/27/2020,19.99,21.55,21.91,19.11,162.39K,-6.76%
4/24/2020,21.44,21.93,22.7,20.5,187.00K,0.52%
4/23/2020,21.33,20.89,23.22,20.07,256.30K,4.71%
4/22/2020,20.37,20.23,22.45,15.98,344.76K,5.38%
4/21/2020,19.33,26.33,26.5,17.51,637.21K,-24.40%
4/20/2020,25.57,28.05,28.25,25.37,361.83K,-8.94%
4/17/2020,28.08,28.66,28.93,27.58,286.17K,0.93%
4/16/2020,27.82,28.05,29,27.2,272.98K,0.47%
4/15/2020,27.69,30.26,30.33,27.16,284.34K,-6.45%
4/14/2020,29.6,32.25,32.32,29.38,297.55K,-6.74%
4/13/2020,31.74,33.99,33.99,30.63,223.29K,0.83%
4/9/2020,31.48,33.82,36.4,31.18,493.00K,-4.14%
4/8/2020,32.84,32.63,33.87,31.54,320.61K,3.04%
4/7/2020,31.87,33.66,34.18,31.74,303.42K,-3.57%
4/6/2020,33.05,31.76,34.24,30.03,296.07K,-3.11%
4/3/2020,34.11,29.89,35,28.25,541.28K,13.93%
4/2/2020,29.94,25.61,36.29,25.45,612.27K,21.02%
4/1/2020,24.74,25.99,26.28,24.52,347.29K,8.80%
3/31/2020,22.74,23,23.87,22.59,14.77K,-0.09%
3/30/2020,22.76,23.85,24.44,21.65,62.08K,-8.70%
3/27/2020,24.93,26.68,27,24.13,112.74K,-5.35%
3/26/2020,26.34,27.35,27.75,26.03,139.18K,-3.83%
3/25/2020,27.39,27.8,28.29,25.68,154.94K,0.88%
3/24/2020,27.15,27.72,28.65,26.69,198.91K,0.44%
3/23/2020,27.03,26.75,27.54,24.68,257.59K,0.19%
3/20/2020,26.98,28.1,30.94,26.81,313.84K,-5.23%
3/19/2020,28.47,27.19,29.42,24.96,335.72K,14.43%
3/18/2020,24.88,28.4,29.21,24.52,348.40K,-13.40%
3/17/2020,28.73,30.14,31.25,28.5,270.24K,-4.39%
3/16/2020,30.05,35.82,35.84,29.45,330.12K,-11.23%
3/13/2020,33.85,32.85,36.15,32.5,360.63K,1.90%
3/12/2020,33.22,35.99,36.46,32.5,472.74K,-7.18%
3/11/2020,35.79,37.27,39.7,35.35,471.77K,-3.84%
3/10/2020,37.22,35.84,38.22,35,551.29K,8.32%
3/9/2020,34.36,38.28,38.34,31.02,779.72K,-24.10%
3/6/2020,45.27,50.25,50.45,45.18,636.39K,-9.44%
3/5/2020,49.99,51.66,52.04,49.7,361.04K,-2.23%
3/4/2020,51.13,52.11,53.03,51.04,363.50K,-1.41%
3/3/2020,51.86,53.47,53.9,51.22,407.55K,-0.08%
3/2/2020,51.9,48.95,53.2,48.4,417.56K,2.73%
2/28/2020,50.52,51.42,51.52,50.05,20.36K,-3.18%
2/27/2020,52.18,53.18,53.25,50.97,112.16K,-2.34%
2/26/2020,53.43,55.13,55.45,53.03,171.50K,-2.77%
2/25/2020,54.95,56.46,56.98,54.62,210.28K,-2.40%
2/24/2020,56.3,57.85,57.86,55.13,236.33K,-3.76%
2/21/2020,58.5,59,59.25,57.73,236.49K,-1.37%
2/20/2020,59.31,59.31,60,58.9,268.65K,0.32%
2/19/2020,59.12,57.6,59.4,57.51,262.15K,2.37%
2/18/2020,57.75,57.35,57.83,56.3,249.20K,0.14%
2/17/2020,57.67,57.29,57.7,56.83,115.34K,0.61%
2/14/2020,57.32,56.41,57.53,56.15,258.14K,1.74%
2/13/2020,56.34,55.75,56.83,54.96,325.51K,0.99%
2/12/2020,55.79,54.41,56.36,54.39,305.45K,3.30%
2/11/2020,54.01,53.62,54.69,53.6,272.81K,1.39%
2/10/2020,53.27,54.2,54.71,53.11,280.18K,-2.20%
2/7/2020,54.47,55.14,55.4,54.21,270.80K,-0.84%
2/6/2020,54.93,55.56,56.58,54.25,379.87K,-0.63%
2/5/2020,55.28,54.05,56.46,54.05,412.27K,2.45%
2/4/2020,53.96,54.33,55.65,53.69,409.86K,-0.90%
2/3/2020,54.45,56.16,56.77,54.08,477.22K,-6.38%
1/31/2020,58.16,59.3,59.45,57.94,19.60K,-0.22%
1/30/2020,58.29,59.6,59.65,57.71,104.27K,-2.54%
1/29/2020,59.81,59.86,60.62,59.26,142.68K,0.50%
1/28/2020,59.51,59.03,60.12,58.5,248.95K,0.32%
1/27/2020,59.32,60.23,60.49,58.5,259.77K,-2.26%
1/24/2020,60.69,62.01,62.46,60.25,257.95K,-2.18%
1/23/2020,62.04,62.68,62.69,61.25,361.91K,-1.85%
1/22/2020,63.21,64.57,64.58,62.62,273.30K,-2.14%
1/21/2020,64.59,65.26,65.35,64.06,248.56K,-0.94%
1/20/2020,65.2,65.98,66,64.92,154.79K,0.54%
1/17/2020,64.85,64.69,65.6,64.48,238.64K,0.36%
1/16/2020,64.62,64.26,64.97,63.9,220.17K,0.97%
1/15/2020,64,64.44,64.6,63.55,229.53K,-0.76%
1/14/2020,64.49,64.29,65.05,63.92,270.50K,0.45%
1/13/2020,64.2,65.13,65.27,63.92,262.47K,-1.20%
1/10/2020,64.98,65.29,65.66,64.86,272.17K,-0.60%
1/9/2020,65.37,66,66.1,64.56,364.45K,-0.11%
1/8/2020,65.44,71.22,71.75,64.94,560.89K,-4.15%
1/7/2020,68.27,68.63,68.75,67.65,284.92K,-0.93%
1/6/2020,68.91,69.35,70.74,68.21,341.14K,0.45%
1/3/2020,68.6,66.28,69.5,66.22,479.70K,3.55%
1/2/2020,66.25,66.41,66.58,65.72,205.69K,0.38%
12/31/2019,66,66.65,66.93,65.63,171.01K,-3.57%
12/30/2019,68.44,68.2,68.99,68.16,29.42K,0.41%
12/27/2019,68.16,67.91,68.33,67.57,112.22K,0.35%
12/26/2019,67.92,67.27,67.99,67.22,69.82K,1.07%
12/24/2019,67.2,66.44,67.26,66.36,106.43K,1.22%
12/23/2019,66.39,66.15,66.62,65.81,131.42K,0.38%
12/20/2019,66.14,66.56,66.72,65.7,217.98K,-0.60%
12/19/2019,66.54,66.19,66.78,66.03,249.54K,0.56%
12/18/2019,66.17,65.84,66.43,65.56,262.34K,0.11%
12/17/2019,66.1,65.31,66.24,65.12,245.83K,1.16%
12/16/2019,65.34,65.05,65.66,64.88,186.09K,0.18%
12/13/2019,65.22,64.56,65.79,64.5,232.75K,1.59%
12/12/2019,64.2,63.9,64.85,63.87,238.31K,0.75%
12/11/2019,63.72,64,64.26,63.01,250.14K,-0.96%
12/10/2019,64.34,64.03,64.69,63.78,235.19K,0.14%
12/9/2019,64.25,64.29,64.5,63.61,239.77K,-0.22%
12/6/2019,64.39,63.41,64.88,62.83,314.60K,1.58%
12/5/2019,63.39,62.97,63.91,62.75,294.84K,0.62%
12/4/2019,63,61.08,63.51,61,319.04K,3.58%
12/3/2019,60.82,61.05,61.58,60.3,248.55K,-0.16%
12/2/2019,60.92,60.73,62.09,60.72,297.87K,-2.42%
11/29/2019,62.43,63.77,63.86,62.36,19.65K,-2.25%
11/28/2019,63.87,63.91,64,63.19,96.08K,-0.30%
11/27/2019,64.06,64.02,64.6,63.51,125.47K,-0.33%
11/26/2019,64.27,63.7,64.32,63.44,181.10K,0.97%
11/25/2019,63.65,63.6,63.8,62.97,212.05K,0.41%
11/22/2019,63.39,63.62,64.27,62.98,228.74K,-0.91%
11/21/2019,63.97,62.22,64.03,61.92,318.49K,2.52%
11/20/2019,62.4,60.94,62.8,60.3,343.31K,2.45%
11/19/2019,60.91,62.28,62.57,60.7,296.80K,-2.45%
11/18/2019,62.44,63.36,63.57,61.94,228.25K,-1.36%
11/15/2019,63.3,62.47,63.65,61.7,255.68K,1.64%
11/14/2019,62.28,62.61,63.21,62.15,234.78K,-0.14%
11/13/2019,62.37,61.85,62.74,61.22,273.03K,0.50%
11/12/2019,62.06,62.11,62.85,61.82,238.17K,-0.19%
11/11/2019,62.18,62.6,62.76,61.57,213.34K,-0.53%
11/8/2019,62.51,62.29,62.7,60.66,287.67K,0.35%
11/7/2019,62.29,61.73,62.89,61.65,261.07K,0.89%
11/6/2019,61.74,62.78,63.32,61.59,275.94K,-1.94%
11/5/2019,62.96,62.04,63.19,61.85,231.67K,1.34%
11/4/2019,62.13,61.8,62.78,61.28,235.38K,0.71%
11/1/2019,61.69,59.45,61.82,59.4,236.09K,2.42%
10/31/2019,60.23,60.57,61.13,60.07,13.90K,-0.63%
10/30/2019,60.61,61.6,61.93,60.45,105.87K,-1.59%
10/29/2019,61.59,61.61,61.98,60.66,136.93K,0.03%
10/28/2019,61.57,62.04,62.34,61.19,167.86K,-0.73%
10/25/2019,62.02,61.5,62.11,60.93,204.45K,0.57%
10/24/2019,61.67,60.99,61.9,60.64,215.54K,0.82%
10/23/2019,61.17,59.48,61.3,58.85,313.23K,2.46%
10/22/2019,59.7,59.05,60.26,58.75,260.60K,1.26%
10/21/2019,58.96,59.23,59.55,58.26,212.57K,-0.77%
10/18/2019,59.42,59.78,60.29,59.01,228.14K,-0.82%
10/17/2019,59.91,58.99,60.04,58.69,269.84K,0.82%
10/16/2019,59.42,58.9,59.75,58.36,257.88K,1.16%
10/15/2019,58.74,59.3,59.68,58,305.68K,-1.03%
10/14/2019,59.35,60.69,60.73,58.5,283.07K,-1.92%
10/11/2019,60.51,59.53,60.69,59.21,367.63K,2.39%
10/10/2019,59.1,58.04,59.6,57.8,262.53K,1.34%
10/9/2019,58.32,58.02,59.35,57.91,266.48K,0.14%
10/8/2019,58.24,58.47,58.92,57.38,274.74K,-0.19%
10/7/2019,58.35,58.02,59.68,58.02,228.41K,-0.03%
10/4/2019,58.37,57.69,58.96,57.67,299.92K,1.14%
10/3/2019,57.71,57.54,57.99,56.15,336.90K,0.03%
10/2/2019,57.69,59.25,59.5,57.22,307.91K,-2.04%
10/1/2019,58.89,59.38,60.1,58.41,291.67K,-3.11%
9/30/2019,60.78,62.24,62.24,60.73,22.01K,-1.83%
9/27/2019,61.91,62.48,62.75,60.76,97.33K,-1.32%
9/26/2019,62.74,62.58,62.92,61.45,115.57K,0.56%
9/25/2019,62.39,62.44,62.81,61.23,201.47K,-1.13%
9/24/2019,63.1,64.4,64.6,62.3,216.28K,-2.58%
9/23/2019,64.77,65.23,65.5,63.53,204.78K,0.76%
9/20/2019,64.28,65,65.28,64.05,224.88K,-0.19%
9/19/2019,64.4,63.51,65.57,63.46,258.85K,1.26%
9/18/2019,63.6,64.23,64.99,63.04,295.05K,-1.47%
9/17/2019,64.55,68.15,69.26,63.55,620.49K,-6.48%
9/16/2019,69.02,66.45,71.95,64.75,735.54K,14.61%
9/13/2019,60.22,60.45,60.81,59.6,195.83K,-0.26%
9/12/2019,60.38,61.16,61.39,58.92,358.09K,-0.71%
9/11/2019,60.81,62.88,63.27,60.52,315.12K,-2.52%
9/10/2019,62.38,62.82,63.78,62.17,267.55K,-0.34%
9/9/2019,62.59,61.6,63,61.57,249.71K,1.71%
9/6/2019,61.54,60.81,61.88,59.4,287.36K,0.97%
9/5/2019,60.95,60.49,62.4,60.25,292.06K,0.41%
9/4/2019,60.7,58.17,60.96,58.13,283.10K,4.19%
9/3/2019,58.26,58.54,58.87,57.23,265.12K,-0.68%
9/2/2019,58.66,58.8,59.26,58.1,121.64K,-2.93%
8/30/2019,60.43,60.98,61.17,60.25,25.14K,-1.06%
8/29/2019,61.08,60.48,61.19,59.98,131.09K,0.98%
8/28/2019,60.49,60.04,61,59.8,134.26K,1.65%
8/27/2019,59.51,58.8,60.17,58.51,218.37K,1.38%
8/26/2019,58.7,58.35,60.17,58.24,183.30K,-1.08%
8/23/2019,59.34,60.11,60.29,58.3,321.24K,-0.97%
8/22/2019,59.92,60.43,60.89,59.47,276.11K,-0.63%
8/21/2019,60.3,60.11,61.41,60.07,269.68K,0.45%
8/20/2019,60.03,59.68,60.32,58.95,245.25K,0.49%
8/19/2019,59.74,58.72,59.92,58.64,211.45K,1.88%
8/16/2019,58.64,58.41,59.5,58.28,209.43K,0.70%
8/15/2019,58.23,59.07,59.42,57.67,298.67K,-2.10%
8/14/2019,59.48,61.07,61.08,58.21,320.43K,-2.97%
8/13/2019,61.3,58.47,61.5,58,338.08K,4.66%
8/12/2019,58.57,58.3,58.88,57.88,221.35K,0.07%
8/9/2019,58.53,57.74,59.1,57.11,281.80K,2.00%
8/8/2019,57.38,57.48,58.01,56.77,299.69K,2.05%
8/7/2019,56.23,58.68,59.23,55.88,485.19K,-4.60%
8/6/2019,58.94,59.56,60.56,58.55,328.15K,-1.45%
8/5/2019,59.81,61.46,61.56,59.66,378.86K,-3.36%
8/2/2019,61.89,61.16,62.95,60.98,364.14K,2.30%
8/1/2019,60.5,64.09,64.54,60.02,433.72K,-7.17%
7/31/2019,65.17,64.95,65.42,64.95,18.76K,0.70%
7/30/2019,64.72,63.91,65.14,63.9,86.10K,1.59%
7/29/2019,63.71,63.32,63.9,62.92,101.70K,0.39%
7/26/2019,63.46,63.28,63.96,63.01,159.86K,0.11%
7/25/2019,63.39,63.21,64.23,63.01,169.84K,0.33%
7/24/2019,63.18,64.13,64.66,62.59,301.51K,-1.02%
7/23/2019,63.83,63.26,64.46,62.66,272.73K,0.90%
7/22/2019,63.26,63.05,64.03,62.77,267.78K,1.26%
7/19/2019,62.47,62.5,63.37,61.83,298.98K,0.87%
7/18/2019,61.93,63.52,64.46,61.29,374.89K,-2.72%
7/17/2019,63.66,64.44,65.28,63.22,274.93K,-1.07%
7/16/2019,64.35,66.31,67.09,63.82,356.74K,-3.20%
7/15/2019,66.48,66.87,67.47,66.11,283.09K,-0.36%
7/12/2019,66.72,66.83,67.29,66.51,244.70K,0.30%
7/11/2019,66.52,66.81,67.65,66.43,283.02K,-0.73%
7/10/2019,67.01,64.78,67.12,64.63,349.51K,4.44%
7/9/2019,64.16,63.81,64.75,63.76,263.89K,0.08%
7/8/2019,64.11,64.34,65.14,63.79,253.82K,-0.19%
